stop_id,stop_name,num_lines,stop_code,x_coord,y_coord
101000971,Bismarckstr./Leibnizstr.,1,BILE01,385640.5217403,5819302.39214136
101000972,Otto-Suhr-Allee/Leibnizstr.,1,OSLB04,385664.59908,5819569.21545353
101000973,Guerickestr.,1,GUER01,385834.21678777,5819927.76708171
101000974,Stuthirtenweg,1,STUT04,394460.03503252,5808624.45863684
101000975,Hünefeldzeile,1,HNFZ01,388305.74555541,5812228.73792674
101000976,Gotzkowskystr.,3,GOTZ02,386694.04299496,5820656.85967003
101000977,Bürgerablage,1,BABL01,378527.46812209,5827552.08205439
101000978,Buckower Damm/Ringslebenstr.,2,BURI02,393852.21309063,5808627.46964481
101000979,Bürgerablage,1,BABL02,378557.18654463,5827532.2127906
101000980,Gotzkowskystr.,3,GOTZ01,386684.92153982,5820650.73890668
101000981,S+U Innsbrucker Platz,1,SUIP02,387491.47293184,5815567.40160931
101000982,Hünefeldzeile,1,HNFZ02,388328.83214923,5812207.09239968
101000983,Guerickestr.,1,GUER02,385832.84309133,5819939.89531177
101000984,Otto-Suhr-Allee/Leibnizstr.,1,OSLB01,385691.69233889,5819663.39431866
101000985,Bismarckstr./Leibnizstr.,1,BILE02,385627.35853355,5819293.44088898
101000986,Kantstr./Leibnizstr.,1,KALE02,385560.74359118,5818714.53406024
101000987,S Julius-Leber-Brücke,3,SJLB02,388717.09100798,5816361.0472478
101000988,Düsseldorfer Str.,1,DUDF02,385381.99016438,5817686.10507057
101000989,Hahneberg,1,HNBG04,374264.62437766,5820914.88336645
101000990,Planetarium,1,PLAN03,387812.60192494,5813056.86565514
101000991,Betriebshof Britz,1,BTRB02,393682.00982687,5812518.22517986
101000994,Neue Kreisstr.,1,NKRS02,373577.91508224,5807118.77457813
101000995,Wilhelmplatz,2,WIPL02,373677.80154912,5808539.22774267
101000996,Pfaueninsel,1,PFAU01,372423.03988587,5810341.00356057
101000999,Miraustr.,2,MIRA02,385483.11145403,5827349.11489989
101001000,Mansfelder Str./Barstr.,2,MABA02,385525.47910465,5816739.01270843
101001001,Rustweg,1,RUST02,378808.22935031,5826573.9762889
101001002,U Mehringdamm,2,UMED08,390479.9302862,5817089.26338079
101001003,Holzhauser Str./Schubartstr.,1,HHSB04,385216.3946723,5827080.01578015
101001004,Fischerhüttenstr.,2,FHTT01,381391.12156936,5810936.04807176
101001005,U Berliner Str.,4,UBER02,386658.59435366,5816470.49092641
101001006,Fürstenstr.,2,FUER01,380554.39423918,5810753.96514595
101001007,Wolzogenstr.,2,WOLZ01,380021.82446292,5810585.89562387
101001008,Kurstr.,1,KURS01,378851.8837324,5810176.44529843
101001009,Waldfriedhof Zehlendorf,1,WFZD01,378235.78466552,5809938.86800108
101001010,Königshorster Str.,3,KHST02,388234.70332656,5828653.72308978
101001011,U Wilmersdorfer Str./S Charlottenburg,1,UWSC06,385033.5852629,5818630.24572628
101001012,Isoldestr.,1,ISOL01,376816.44879403,5809219.16541213
101001013,Isoldestr.,1,ISOL02,376779.21344906,5809195.97187547
101001014,S Frohnau,1,SFOH01,384168.52242216,5832715.79782506
101001015,Waldhaus-Klinik,1,WHKL01,378004.50697012,5809765.86887917
101001016,Waldfriedhof Zehlendorf,1,WFZD02,378237.40481804,5809908.43583183
101001017,Kurstr.,1,KURS02,378843.62042005,5810147.00277244
101001018,Wolzogenstr.,2,WOLZ02,380096.21468474,5810585.78207886
101001019,Fürstenstr.,2,FUER02,380507.66861608,5810721.0487501
101001020,Mittelstr.,2,MTTL02,381009.83539102,5810830.70348951
101001021,Fischerhüttenstr.,3,FHTT02,381361.76811892,5810906.8107337
101001022,U Wilmersdorfer Str./S Charlottenburg,1,UWSC07,385040.87950602,5818630.83502567
101001023,Eisenzahnstr.,2,EIZA01,384870.91385664,5817302.3456004
101001024,Hochmeisterplatz,2,HOMP01,384680.4707578,5817420.3622489
101001025,J.-Friedrich-S./Westfälische Str,2,JFWF01,384291.60433516,5817578.74350694
101001026,J.-Friedrich-S./Westfälische Str,2,JFWF02,384348.34410926,5817549.67306687
101001027,Hochmeisterplatz,2,HOMP02,384758.78678498,5817368.77776742
101001028,Eisenzahnstr.,2,EIZA02,384951.85571421,5817247.00816
101001029,U Blissestr./Uhlandstr.,3,UBLU03,386059.28429574,5816462.89269092
101001030,Schuchardtweg,1,SCUC02,373832.6295623,5809140.77574038
101001031,Kufsteiner Str.,3,KUFS02,387058.44554056,5816374.38903853
101001032,Hermsdorfer Damm/A111,2,HEDA01,383677.28215808,5829264.50644236
101001033,Am Tegeler Fließ,2,ATGF01,384173.41735773,5829535.54073485
